1,1.4,1.28,1.36,1.38,1.44
2,1.4,1.34,1.54,1.44,1.46
3,1.8,1.44,1.46,1.5,1.38
4,1.54,1.5,1.48,1.52,1.58
5,1.52,1.46,1.42,1.58,1.7
6,1.62,1.58,1.62,1.76,1.6
7,1.58,1.64,1.62,1.72,1.6
8,1.62,1.46,1.38,1.42,1.38
9,1.6,1.44,1.46,1.38,1.34
10,1.38,1.34,1.36,1.58,1.38
11,1.34,1.28,1.08,1.08,1.36
12,1.5,1.46,1.28,1.18,1.28
13,1.26,1.5,1.52,1.38,1.5
14,1.52,1.5,1.46,1.34,1.4
15,1.5,1.42,1.38,1.36,1.38
16,1.42,1.32,1.48,1.36,1.38
17,1.32,1.4,1.4,1.26,1.26
18,1.16,1.34,1.4,1.16,1.54
19,1.24,1.22,1.2,1.3,1.36
20,1.3,1.48,1.28,1.18,1.28
21,1.3,1.52,1.76,1.16,1.28
22,1.48,1.46,1.48,1.42,1.36
23,1.32,1.22,1.72,1.18,1.36
24,1.44,1.28,1.1,1.06,1.1
