'Cairo',35,38,33,35,40,38,45,60,42,47,38,38,47,43,41,47,37,45,37,30,35,40,35,38,40,51,34,39,43,34,42,37,34,40,43,43,45
'Alpena',38,43,41,39,41,38,43,47,37,46,43,40,44,38,43,41,38,45,42,42,47,41,37,43,38,43,38,42,47,37,44,38,47,42,45,50,42
'TatoushIsland',68,51,65,61,68,54,57,70,71,84,59,69,62,60,61,68,68,56,66,62,65,63,71,59,59,68,68,61,78,71,74,64,62,66,59,61,66
'Williston',38,50,40,35,38,41,38,50,38,38,44,41,50,35,34,35,42,36,35,37,40,46,49,40,37,46,37,39,33,44,34,34,35,42,46,41,44
'Richmond',46,48,41,43,37,47,47,36,34,32,37,36,37,38,41,37,42,38,45,37,38,46,39,34,38,34,38,33,32,35,44,46,40,34,32,41,38
'Burlington',40,47,43,40,41,50,44,47,49,49,44,53,40,46,47,43,50,43,43,40,42,41,42,43,43,44,47,38,43,38,41,41,40,42,42,43,46
'Eastport',53,41,54,49,60,54,52,56,48,39,57,46,46,51,38,50,45,50,48,52,42,46,51,48,46,46,45,47,46,49,46,42,51,55,44,52,48
'Canton',51,53,50,44,46,44,49,47,46,54,43,49,43,62,39,39,47,48,36,38,39,39,38,34,44,35,38,39,35,40,38,42,32,34,39,34,35
'Yuma',32,32,29,32,32,37,32,34,30,33,33,34,29,35,30,30,30,38,29,34,34,35,30,35,32,29,34,34,29,29,31,29,30,33,37,34,41
'Duluth',54,49,49,46,50,45,51,45,49,54,53,54,50,45,54,54,57,52,47,39,49,51,59,51,49,53,54,50,52,68,55,50,54,49,61,49,49
'Valentine',38,44,44,43,39,36,39,44,49,43,41,46,41,42,41,44,36,45,49,37,42,56,35,39,34,43,41,41,35,37,38,42,38,36,46,39,38
'Charleston',52,49,46,43,50,37,38,41,32,35,43,35,38,38,43,40,55,36,40,35,40,51,53,47,40,34,43,47,66,33,44,33,60,57,43,45,34
'Eureka',35,35,46,46,35,35,40,35,32,38,39,37,34,38,36,30,34,31,31,34,37,30,31,30,34,38,35,35,34,35,37,41,37,35,38,34,35
'OklahomaCity',56,41,44,57,48,43,57,46,43,37,40,38,46,35,36,38,34,38,38,29,32,32,34,38,30,34,32,33,33,31,33,26,34,28,31,37,33
'Baker',27,30,29,28,28,30,38,30,28,28,30,27,25,30,40,37,29,26,29,27,28,35,26,32,29,28,30,38,28,27,34,28,25,30,28,30,33
'Sheridan',44,38,41,43,40,38,32,32,34,46,37,37,37,31,32,33,33,34,33,31,32,37,33,32,32,33,32,33,38,53,49,51,52,59,57,66,56
'BlockIsland',60,54,65,63,56,59,54,54,56,56,59,47,60,56,56,59,54,52,54,51,59,60,57,62,58,47,82,56,50,52,57,70,82,63,56,67,57
'Winnemucca',36,32,36,32,38,41,37,36,43,38,48,38,38,31,32,37,34,32,34,34,32,48,30,35,36,32,35,36,35,58,52,45,33,42,42,39,40
'NorthHead',69,65,70,63,73,65,68,65,57,95,60,68,64,70,73,65,66,63,66,66,79,70,87,69,73,72,67,70,84,67,65,77,65,64,67,66,69
'KeyWest',32,40,39,44,41,40,40,84,40,38,41,40,51,41,49,44,37,61,34,46,40,43,32,46,38,43,33,33,42,40,35,40,56,40,35,54,78
'CorpusChristi',47,41,41,40,90,38,50,95,41,51,43,39,44,38,37,39,37,36,43,35,47,49,47,39,49,42,50,38,43,37,61,54,45,56,43,41,35
